,ID,text,labels
5367,1327012362046488576t," There is not a sewer deep enough for me to incarcerate the political establishment of this country , but not even those sociopaths and narcissists would force vaccinations upon people . Especially unauthorized , hugely unproven and potentially dangerous ' treatments ' like  ' s",mandatory rushed
9355,1173427597247533057t,   I ’ m truly sorry . Receiving medical treatment / medications there R always adverse affects . I ’ m not sure what statistics R on adverse affects but 1 case is 2 many . I ’ d like to C them come up with a test prior to the vaccine to address those who R allergic / or have adverse affects,side-effect
4672,1298365786642239488t,Eats the flesh and drinks the blood of the Son of God ; Boycotts Oxford COVID - 19 vaccine over use of fetal cells  via ,ingredients
2933,1255745136547545088t,  Will the vaccine will be helpful for the nation ? Or it will be like the vaccine that you used in africa and harmed them ?,side-effect
3653,1289100690585878528t, This is exactly what I ’ ve been thinking . There is something nefarious about this mRNA vaccine . It ’ s pretty clear . Most likely to do with eugenics .,conspiracy
6438,1275345137309306885t,"What people see is Moderna leadership getting rich quick off vaccines that are being rushed through and skipping crucial safety checks . There's no evidence whatsoever right now that the company's novel vaccine will actually work , let alone be safe",pharma rushed
8282,1144938065938530305t,"From 2004 to 2015 , there were 108 deaths from the #vaccine allegedly meant to "" prevent "" measles and zero deaths from measles . The vaccinated are the vast majority mislead to believe a minority could somehow "" weaken herd immunity "" and they're unaware measles isn't a death sentence",side-effect
4627,1354637945966268418t,"#VAERS 913733 #Covidvaccine #modernavaccine "" My grandmother died a few hours after receiving the moderna covid vaccine booster 1 . While I don ? t expect that the events are related , the treating hospital did not acknowledge this and I wanted to be sure a report was made . """,side-effect
9693,1300245539779477505t,     I'm so sorry I voted for  words escape me . Billions of dollars he gave to pharma so he can peddle a vaccine before we know it works ? Are we guinea pigs for Trump ? Does ANYONE feel safe with this  ?,rushed
427,1255328076399095812t,    Realize that but it was a remedy recommended by health care that went terribly wrong much like a vaccine with little testing might result in as well . That was my point .,rushed
4696,1349817209996992512t,I find it ’ s so stupid how they ’ re making a Covid vaccine but they still haven ’ t made a cure for cancer . y ’ all fake,ineffective
7452,1413367208537989123t,"Taking One for the Team #TeamCanada New Astra ~ seen no more #justsayno #TakeonefortheTeam #vaccineSideEffects #vaccination #VaccinesWork Wake up ~ ~ UK Man Left Paralyzed , Fighting For Life After Getting AstraZeneca COVID - 19 Vaccine ",side-effect
3580,1278988867383824385t,They bring used as Guinea pigs ! ! ! Protests Against Africa ’ s 1st COVID - 19 Vaccine via  ,country rushed
7707,1333115068569899010t, I posted earlier about how lucrative a business vaccines are . $ 30b in revenue in 2014 up to $ 60b in 2020 . GSK made $ 9.8 b from ONE vaccine .,pharma
2617,1413251614471639045t,    The Hague . Is where they are going . Boris has pinned all his hopes on the vaccine . The vaccine is a great tool . When used with public health . Boris made the #BorisVariant ( Alpha I think ) with recurrent ‘ faux lockdowns ’ . He is about to upgrade Delta or Lambda with his psychopathy .,political
2794,1347258346278031366t,"i have no problem taking the covid test to keep my job , but if they tell us taking the vaccine is mandatory or we can't work there ? ... just know i'm quitting . ✌ 🏼",mandatory
5936,1220407272448385026t, Vaccine supposedly in the works . Will have no testing and get pushed through FDA no matter how many slaughtered by it .,rushed
3817,1310331558750978048t,"As US health authorities show reluctance to allow AstraZeneca to resume clinical trials of its coronavirus vaccine , a plethora of questions remain unanswered regarding the neurological illnesses suffered by study participants after they received injections of the expt vaccine .",side-effect
5000,1335185540103118852t,"  And none of them are working , Brazil cancelled it's trials due to adverse effects . CCP just bought millions of doses of the Russian Sputnik vaccine . Time to give up on China getting a safe / trustworthy vaccine out .",rushed side-effect
4496,1353726153312374787t,    Bill gates is on the express way for human genetic manipulation . Now you need 3 shots to be vaccinated .. do you still need more to be bloody awake ,conspiracy side-effect
1103,1364635462598598658t,"  Absolutely , no one whom is healthy should need the vaccine . Nothing makes sense .",unnecessary
5325,1303480011459104769t,AstraZeneca Covid - 19 vaccine study put on hold due to suspected adverse reaction in participant in the U . K . The first of many failed Covid - 19 vaccines . ,side-effect
7068,1350914728864874496t, Norway Headline this Morning . 30 elderly people die days after receiving Vaccine The have had 500 covid deaths all yr it will only take them 2 weeks to beat that,side-effect
3298,1410873702523150336t," Meanwhile the clots say "" The final details of that will be released within the coming week "" For 2 months I have believed we should have a no - fault compensation for properly diagnosed AstraZeneca vaccine induced clots .",side-effect
4652,1415804206817087491t,Google Seeks Vaccine - Related Infertility Rising 34900 % As Doctor + Former Pfizer Executive Got the Rumor ,side-effect
9151,1293916322288431107t,"  I ’ m not anti vax , but I ’ m definitely not going to be taking one of the 100 Million doses the US just purchased from Moderna ( or ANY vaccine rushed to market before Nov ) : ",rushed
811,1339036551725023234t,Didn't another strain of #Covid pop up on the UK recently ? That effectively means the experimental vaccines that #Trump #BorisJohnson & #ScottMorrison want people to take are useless #auspol #wallstreet #StockMarket #covid19 #vaccines #COVID19Vaccine #DJIA ,ineffective
6,1377368918465998849t,"it took me 5 mins in the hospital to decide against the whole vaccine taking process , like nah that system ain't putting nothing in me",pharma
9095,1359588295949365248t,novavax covid vaccine gave me chronic thyroid disease . could be permanent ,side-effect
3462,1301793300479979521t,I really hope absolutely no one takes that COVID vaccine when it drops in November .,none
6322,1301828941846470656t," Dr . Yan on CCP ’ s hasty push for COVID - 19 Vaccine : The vaccine can have huge side effects and generate ADE , facilitating the CCP virus to infect human . ",rushed side-effect
4049,1269861638229962760t,"  Its a logical fallacy choosing between big pharma or their drugs , since Pfizer & 3 others blackmailed the govt into signing the NCVIA in 86 ? No recourse for vaccine harms to protect 300 million people from a rushed , experimental , previously failed mRNA vax is scarier than Covid .",pharma rushed
8315,1382071644471058443t,Had chocolate Longest day #coviddiaries vaccine designed for men women suffer blood clots #bigpharma Johnson #covax almost  Black solo day,side-effect
9508,1336219081893036039t,Controversy : Former Pfizer executive claims “ risk of infertility ” with vaccine A former vice - president of respiratory research at Pfizer has controversially highlighted what he describes as a potential risk that company's vaccine will cause inferti  ,side-effect
3657,1341291525200879617t,"   The AstraZeneca vaccine is more morally compromised . The HEK 293 cell line was used in the design , development , and production stages of that vaccine , as well as for confirmatory testing [ ... ] The AstraZeneca vaccine should be avoided if there are alternatives available .",ineffective ingredients pharma
9285,1334874389033181186t,  I have zero trust in this government or the so called opposition party due to the endless lies they have told . I have my doubts about the UK Regulator . They may have been leaned on politically . My suspicions will be confirmed if the AstraZeneca vaccine is also cleared for use .,political
8331,1350051067606798336t," In Norway , 23 people died because they had received the Pfizer vaccine",side-effect
8045,1306513160489373699t,"#SackWhitty in the pocket of  and  who have already have an option to sell 2 BILLION doses of vaccine to India . A vaccine which has been rushed , already been paused due to severe reactions in test subjects and has no control sample for comparison",pharma rushed side-effect
5349,1343575129817821184t, What goes on ? ? ? That's all the World needs right now if for a defective Chinese vaccine ! ! !,country
3190,1353295213280681992t," If you choose a vaccine made in China , then you can refer to the following pictures , or directly search for those children who were disabled by the Chinese vaccine on Twitter ! Believing in the Chinese Communist Party is equivalent to believing in the devil ! ",country religious side-effect
1660,1344293646095556615t,"Now this is what I've been afraid of what will happen with people who have comorbidities and then get COVID ? ? ? "" California nurse tests positive 7 days after getting Pfizer Covid - 19 vaccine - but it's not unexpected , says expert - ABC | News 24 "" ",ineffective side-effect
6912,1355959711225491463t,#Covid19 #CovidHoax #Plandemic #VaccineInjury Massachusetts congressman tests positive for Covid - 19 after getting 2 shots of Pfizer vaccine — RT USA News ,ineffective
7827,1324753944409706497t,  You haven't really thought this through have you ? They'll be certain to keep those vaccines coming .,pharma
7043,1434024405064028162t,"   That ’ s why Covid passports are useless , quite apart from philosophically repugnant . Pfizer now saying we ’ ll all need three boosters a year … ( and of course the do . )",mandatory
7666,1375118840670134273t,  No its not . The New Covid Vaccine Religion appears strong now . It's strength is illusory . It will crash and burn .,religious
4189,1262298810816106497t,"  Shame on u Mr minister , when a professor in Nigeria said he has a cure for covid - 19 n ur president could not approve it n u went on to buy Madagascar own . And now u talking of WHO vaccine , it is u n ur families that will take d vaccines .. there is no CoronaVirus in Nigeria",political
6437,1320309699946958848t,"“ Vaccine trials fail more often than not . The initial experimental work on the Oxford vaccine , done in animals , was not viewed by many of my fellow scientists as the unqualified success that the media breathlessly reported ”",rushed
5674,1315900722140114945t,"Prof . Martin Gore , leading #cancer expert , died suddenly following routine yellow fever #vaccination 💉 Why didn't he die previous time ? Who knows . You never can tell when you will lose in this Russian roulette . #LearnTheRisk #WakeUp #VaccineDeath ",side-effect
771,1331152712386359296t,Trump and Dr . Fauci had meetings with Robert Kennedy Jr . About Vaccines but a week later Pfizer made a 1 million dollar contribution to Trump's inaugural . 🙄 Also RFK is soon to publish a BOOK on 👇 #FAUCI ! ! ! 🤨  #Vaccines #Vaccine,pharma political
856,1344399162431791105t,"this means nothing ! ! ! the vaccine isn't 100 % ! ! ! and it needs two doses ! ! ! everyone knows this already ! ! ! Vaccinated US nurse contracts COVID - 19 , expert says Pfizer shot needed more time to work - ABC  #SmartNews",ineffective
3235,1336357062389985280t,That vaccine coming out and so many of y ’ all willing to risk your own DNA just to protect yourself from a 2 week sickness . Y ’ all want a reason to be skeptical ?  Pfizer is the same company responsible for this . ⬇ ️,side-effect
7217,1280124175215190019t,"GLAXO SMITHKLINE , PFIZER , BBC , GATES . . . Inform yourselves on their corruption ! Pls retweet and share 🙏 ",pharma
6771,1211037384604835840t, It's literally impossible to make a vaccine that will not harm 100 % of end users specifically because each and every human reacts differently to different chemicals & biologicals . Making something that works for 80 % + is the best anyone can do . You people really have no clue .,side-effect
7551,1330868069313490951t,     Is anyone finding the timing of these vaccines coming out one after other in less than a year ... uncanny ? ,rushed
6999,1445986934854017029t,"  As an American I demand a refund for this lousy coup , this is as defective as a Pfizer vaccine .",ineffective
2886,1376928481242677256t, my government has just tuned me into an anti vaccer . My life matters and they tell me I have to take the astra vaccine . Or wait for the masses . Well by then the covid rate will be low so ... 🤷 ‍ ♀ ️ anti vaccine for now .,mandatory political unnecessary
1940,1289321854025388034t, I read where the military will be the guinea pigs and forced the vaccine . That's utter BULLSH * * ! ~ Former Navy Wife & Ombudsmen ...,mandatory
6125,1337016325626060801t,"    What you are asking for is called a live risk environment , which means people have to die for the data ; thankfully people have a choice and not take it",side-effect
4461,1293356251229949955t,  You can hope . I've read they skipped some of the animal trials they usually do . You know if that's true ? I'm not a fan of the Moderna vaccine .,rushed
8927,1280582280981798912t,"India's Aug 15 deadline for a Covid - 19 vaccine criticised , safety concerns raised 🦠 🇮 🇳 🔥 LMAO ... by all means , start giving jabs of whatever you ’ ve concocted next month ... 😂 ",rushed side-effect
2923,1366516854118825984t,"#RealNews #truth #Gaia March 1 , 2021 The Pentagon says almost 75 % of troops are turning down the Wuhan coronavirus vaccine . A 28 - year old Ph . D . physical therapist died just two days after being injected with the COVID Experimental m - RNA Vaccine .",side-effect
6246,1354770216664920066t,      You were happy to take the belgian vaccine you cnut ? Why is astrazeneca so afraid to publish the contract . Astrazeneca is playing dirty . ,pharma
5696,1293414616253394945t,"significant side effects or harm , but if , for example , these earlier studies suggested that people with asthma tended to have life - threatening asthma flare - ups after receiving the vaccine and then the Russian government were to require all soldiers to take the vaccine regardless",side-effect
3707,1368939262406713355t,"My take on the vaccine . Some are dying , some are hospitalized , some have reactions but not deadly . Next flu season , people who took the vaccine will get a big surprise . This vaccine will kill more than Covid - 19 and at a much faster rate . Depopulation achieved .",side-effect
3778,1333759541977210880t,Moderna needs to test their vaccine on DEMOCRATS first . I don't trust any Gates / Fauci concoction !,pharma political
6141,1403144879543226371t,FDA extends shelf life of Johnson & Johnson Covid vaccine  via  Based on what science ? ?,pharma
8886,1298313494756880384t," GET A GRIP , FDA CHIEF ! You LIED About The 35 % Mortality Rate . The 35 % Is The DIFFERENCE Between The HIGH Dosage & The LOW Dosage . And , There Were ZERO Placibos Involved . Trump's PUSHING The Convalescent Plasma On Us As Putin PUSHES His Vaccine On The Russian Citizens .",political
3376,1316190369248415744t,    Hope you enjoy the free tracking chip that comes with it courtesy of Shill Gates ! !,conspiracy ingredients
3421,1308805578609885184t,BUT WE REALLY DO NOT UNDERSTAND THE DISEASE ... WE ARE STILL STUDYING IT BUT WE HAVE A VACCINE ... FROM MODERNA ? ? ? WHO IS MAKING THE MONEY ?,pharma rushed
6608,1306700569331994625t, AstraZeneca has pulled their vaccine because it seems to be causing multiple sclerosis . It IS very important to be safe . I am voting for you and I will not take these vaccines until they are well proven to be safe .,side-effect
1974,1374088395463462916t,"  When masks are no longer required after getting vaccinated , I will consider getting the vaccine . Until then , I don't see the point . Wearing a mask implies I'm not protected .",ineffective
1593,1376145213333377031t,Taking the #vaccine means giving your seal of approval to all this shit that has been going on since February 2020,conspiracy unnecessary
2139,1322152943596916738t," Looks like you have a 50 / 50 chance of dying taking the drug or getting the virus ! I ’ ll take my chances with the virus before the vaccine ! ! And my elderly parents as well , will not get the vaccines !",ineffective unnecessary
7223,1362826136674136067t," I'd love to see the results of "" Covid Vaccine Deaths & Complications "" plugged into that same covid case modelling software !",side-effect
4318,1336332810961920003t," That's great , but the problem is , you're 90 , so every day you continue to live is a bonus ( my nan used to say that before she died at 83 ) Only younger people will suffer from any long - term effects caused by this vaccine that Pfizer could not possibly have tested for .",side-effect
1951,1344292081381093376t,An amazing Covid piece by James Grundvig on what's wrong with the vaccine . #COVID19 #Covid #Covid #CovidVaccine ,ineffective
9704,1399789795832852481t,"   god know best , , maybe sputnik v hiding info because its also adenovirus vector based vaccine , , jj astrazenca and sputnik v",pharma
3156,1406823357899624449t," The Swine flu vaccine was [ allegedly ] withdrawn "" after doctors noticed a sharp rise in narcolepsy among those receiving it "" .  47 fatalities are implied here from Pandemrix : ( and also 12 cases of facial palsy , as in Pfizer ? ) ",side-effect
7270,1344676962556645377t,"500000 Jews in Israel will take the Pfizer and Modena vaccines , to the risk of the extermination of their race . This is the dream of the Eugenics who backed Hitler , but now the Jews go to the gas chambers voluntarily . Harriman & Ford would be proud .",conspiracy
6229,1287943849118068737t,something's fishy with his insistence . i think that vaccine is still on clinical trial and whoever takes that will be sort of a guinea pig . nobody trusts chinese vaccines . i trust the UK vaccine which is still in development . unahin nya sarili nya magvaccine sa september !,country rushed
6433,1434270163113758720t,AstraZeneca COVID Vaccine May Work as Cancer Treatment OMG no one is safe from the covid vaccines .. ,side-effect
2295,1334641986242920451t,"Wow , Good thing Biden won't be President on Inauguration Day .. Does not effect me I dont wear a mask for anyone and refuse to be muzzle or injected with a vaccine full of crap . Cure for Covid 19 is HCQ ( 55 yrs Safe ) like Trump told you 8 months back . Another cure for Covid 19 is",political unnecessary
6708,1374782519971885063t,  That's why I am advising my daughter against having the vaccine . She has been diagnosed with autoimmune problems . Hope she's ok ! Best wishes !,side-effect
2747,1333529641190117380t,"Pfizer's Experimental Covid - 19 Vaccine — What You're Not Being Told | | Orinoco Tribune - News and opinion pieces about Venezuela : Pfizer ’ s long history of scandals , and the fact that they have never been held to account for their crimes , ",pharma
7958,1338442593907187712t," No Pfizer vaccine for me but the FISA vaccine I ’ m cool with that . Agents from ccp have infiltrated everything btw , over 100 agents at Pfizer alone .",pharma
46,1339788992343121928t,I knew there was an adamant and outspoken #antivax community . What I wasn't aware of was this sadomasochistic #provax group who are creepily orgasmic over being injected with whatever #BigPharma wants to inject them with,pharma
9776,1353266976026714112t,  It has been said many times but MSM implied vaccine gives total protection so everyone believes it is without checking for themselves . Crazy .,side-effect
7309,1329449676093988871t,"   I agree , also we cannot trust Pfizer . Some of us still remember the lies and manipulation they employed to falsify the data on Zoflot . 300 families sued them over the deaths of their relatives , vaccine companies are indemnified if the vaccine damages or kills they are not liable",pharma
5612,1333408871772160000t," Did you know that moderna is trying to vaccinate the placebo group as soon as that are unblinded ? Therefore eliminating any long - term safety data . If you ’ re severely injured by it , they can easily deny it was the vaccine .",pharma rushed side-effect
7883,1374147102381596680t,"  Roy is one of these people that think when the groups who make up 80 + percent of hospital admissions are vaccinated , we should still be living in fear , the country should then be put on hold for the other - 20 percent",ineffective
4058,1363027539774627840t,"~ #The #Corona #Fake ... There Are Fake Tests , There Are Fake Masks , There Are Fake Numbers , There Are Fake Statistics , There Are Fake Scientific Thoughts , There Are Fake Vaccine Serums & There Is Finally A Fake Corona Virus . So , Believe What You Want , I Do Not Believe In You ~",conspiracy
7564,1298347172388376576t,How can we trust a Covid - 19 vaccine is safe knowing this ? Global Pharmaceutical Giants have made Criminal Activity legal and the vast US multi - billion dollar Fines just a part of their Drug Costs ” - ,pharma
6421,1239883021924401156t,"  Yes , they are cutting corners in their desperation to get a vaccine . When they have it they will be forcing it upon the population .",mandatory
1396,1369103345944825861t,"The first plan is to get as many people vaccinated as possible . This is why they used the Covid 19 virus to scare people into getting the vaccine , but they blocked other cures as hydroxychloroquine . The second plan is to spread a new corona virus in the chemtrails that will kill ",conspiracy side-effect
1495,1374267892422828032t,How many care home workers have refused the vaccine because they ’ ve already had CV - 19 & thus have some natural immunity ? How many are 18 - 40 & thus less vulnerable ? How many more times will MPs let a small cabal of Ministers + the PM drag our country into a totalitarian state ?,ineffective political
7117,1338238554606989312t,    This vaccine has proven fatal during the trials . DO NOT TAKE IT !,side-effect
6794,1290365833676492802t,   Excuse Me ? ? Now this country cannot return to normal unless everyone takes a vaccine for COVID 19 ? I never intend to take it ! With all the crap these globalists have put in vaccines we would be fools to take any vaccines ! Baby fetal tissue & toxic crap ? ?,ingredients
326,1403037201433350151t,""" While several medical conditions can cause a pulmonary infarction , the most common cause is pulmonary embolus . "" And I've got at least 4 of them from the Astrazeneca vaccine",side-effect
3361,1343201175877775360t,Also we not going to give the RNA - based Corona Vaccines to our kids under 18 because it is so new and this Astra / Oxford Vaccine used the old - fashioned time - tested double - stranded DNA of a harmless virus which we leaning towards taking ourselves ... RNA OK for us Old Folks too ! ,ingredients unnecessary
1347,1374745418773491713t,Johnson & Johnson couldn ’ t even keep a pussy roof dry without giving it cancer & y ’ all wanna trust a vaccine from them ?,side-effect
4812,1365011652719095816t, I ’ ve learned not to believe a word of what is said about the vaccine rollout . Hearing too many negative stories sadly 🙁,none
7863,1336642934653906944t,""" UK regulator warns that people with significant allergies should not receive Pfizer / BioNTech vaccine "" Hay fever , pollen , cat , dog , peanut , dust , asthma , etc . It apparently OVER - stimulates the immune system . How was this not noticed in the Phase III trials ? Only if covered up .",side-effect
4678,1326227370014109702t,  In NY they ’ re trying to mandate it as the chair of bar association said it was legal to do it which clearly isn ’ t . Coumo is trying to pivot on using the vaccines that Biden / Gates wants to push instead of Pfizer ’ s which hasn ’ t shown any negative results so far . Sinister plans .,mandatory
4139,1334209461788024836t,Define an Anti Vaxxer ? All tarred with the same brush ! People have valid concerns of the #corruption of #Tories & #Pharma companies ! Coronavirus : What do we know about ' Pfizer ' Also on Pfizer's list of scandals are a bribery settlement ; massive tax avoidance ; and lawsuits,pharma political
3231,1220191028147343360t, maybe ... but hey your mom never vaccinated you thought ya should know : ),none
242,1334919111449710594t,Anyone out there still believing shit will go back to normal after a vaccine ? Get your head checked . #Pfizer #scandemic #WhyAreTheyDoingThis #fuckoffboris #fuckboris,ineffective
7918,1305509340841938944t,"And if Pfizer's vaccine doesn't work , their Phase 1 ' diversity ' program will become a diverse nightmare for the participants ? Don't want to be one .",ineffective
6748,1385046351411654658t, Why would you not even address the blood clot situation on your vaccine ? And how in the world did you not know about the horrific conditions at the vaccine manufacturing plant ? What is going on w Johnson and Johnson ?,side-effect
727,1249309530132905988t,"Fauci's a greedy fraud . He's the director of NIAID who's producing the so called "" cure "" ( vaccines ) with drugmaker Moderna . Everything else is a threat to his business #FireFauci       ",pharma
1877,1376672980701474817t,Mexico : 75 - year - old woman dead 15 minutes after Sinovac vaccine ,side-effect
5128,1339405213145415680t,metro : ' Health worker in intensive care with severe reaction after Pfizer Covid vaccine ' ,side-effect
7424,1415126250008494080t,"And I'm sure the more than 1 - in - 3 fully vaccinated that are getting infected by the Delta variant has nothing to do with it . According Israel government data , the Pfizer vaccine is only 64 % effective against the Delta variant . Ignorant maskless vaccinated morons are the problem ",ineffective
3870,1310242509394784258t,""" Two Parties "" my ass . They've always been in collusion . No matter who "" wins "" this ( s ) election : "" VACCINE "" JUST WATCH . No one runs Trump ? Merckel , AstroZeneca , Pfizer . Watch . ",political
4449,1382294574132039681t,Oregon calls for halt in use of Johnson & Johnson COVID - 19 vaccine  ,side-effect
7121,1377310183844642823t,    Realistically there has never been a vaccine that was perfectly 100 percent effective . Notice how they only did this on a few thousand people at best . They basically did the same thing on their previous trials . With no long term health trials either . I ain't taking it .,ineffective
7804,1352926109206249472t,"    Bluff and counter bluff by government again . It was not logical to move from 3 weeks to 12 and some are having second dose already . Johnson is trying to be friends with all options and , in doing so , failing everyone . Vaccination will be ultimately a failure if not given correctly",ineffective
5261,1347533073995292674t, WHO now says that the second dose of Pfizer vaccine can be administered up to six weeks after the first dose . I ’ m sure this wasn ’ t studied . I don ’ t agree with it . Do you ? Wondering if this is because there isn ’ t enough vaccine in the pipeline ?,rushed
8350,1353878251094028291t,"  I ’ m not sure you ’ ll need a vaccine for COVID 19 once it ’ s no longer novel , from what I can tell it ’ s not really special from other coronaviruses that cause the common cold . It ’ s just new and we have no immunity , once that ’ s no longer the case it ’ ll likely be just another virus",unnecessary
2089,1297908877909008385t,"  Oh Tim .. Nothing could be farther from the truth . I am so scared of where this is going .. We are being prepped for a Vaccine .. with little testing .. and a horrible agenda attached . There are cheaper ways of dealing with the problem , which have been discounted .",rushed
334,1329038268151848961t, I ’ m sure Pfizer has killed people in the past and have had loads of lawsuits against them because of there vaccines ? ? ? ... I ’ m alright thanks ! ! !,pharma
2558,1289281754642239490t,  I have a friend who gave a single MMR to her son who immediately displayed symptoms of autism afterwards . He was diagnosed soon after . Biggest mistake of her life . They used chelation therapy and he ’ s totally better . Chelation removes heavy metals . Vaccination adds them .,side-effect
9195,1334708952655785985t,$ MRNA MODERNA HAS ZERO PREVIOUS RECORD OF VACCINE OR DRUG DEVELOPMENT YET COMES OUT WITH A UNTESTED TECHNOLOGY OF RNA CODING ? WSJ REPORTS HERE OF POOR TRACK RECORD ,rushed
6350,1329053455491723266t,"What a joke it was 90 % effective last week now its 95 % this week , its passed safety checks apparently so that will be for short term side effects as long term who knows "" Pfizer and BioNTech say their vaccine is ' 95 % effective ' and has passed safety checks "" ",side-effect
1669,1371549261226242048t,  Life insurance does not cover you for adverse effects of the vaccine . VAERS : 4.10 % of reported adverse reactions to Covid - 19 experimental mRNA vaccine are deaths . This is more than 10x the mortality risk from all other vaccines .  ,rushed side-effect
8770,1338961436631060481t,    Do tell - how many of the people who ’ ve already gotten the vaccine have died ?,side-effect
2720,1320925646625751040t,   Yes in year 2 . I still think a huge group of people either won't get the vaccine or won't have access to it . I also am not completely sold on the effectiveness of a rushed vaccine . Over time we will get it down to levels similar to the flu but I suspect that will take a few year,ineffective rushed unnecessary
7385,1351219548511469573t," Are we going to get daily death counts "" from "" the vaccine too ? Counted the same way we get deaths "" from "" covid ?",side-effect
1507,1236223154248445953t,"the pro - #vaccine propagandists don't know anybody with #autism , they think they're experts on my condition just because they watch TV and movies . #StopVaccines #vaccineInjured #VaccinesCanKill #ActuallyAutistic #StopDiminishingAutism #StopAbleism #VaccinesCauseCustomers ",side-effect
5554,1385536310882967553t,"Massive contamination of Johnson & Johnson vaccine in US , production halted ",ingredients
1085,1330833629682003972t," No one of them 3 answered the question , even partially , how 2nd endpoint looks like , means , protection from INFECTION . Well , we know how it went in animal challenge for heavenly AstraZeneca",none
8207,1325773207182344193t," Wait wait you make a huge claim like it ’ s 90 % successful and then follow up saying it ’ s not safe . When your CEOs , scientists and their families are willing to get injected that ’ s when I will believe a single work you say . Your company has a track record",side-effect
8156,1293288062508765190t,This is why vaccines take years to develop safely . If you do it wrong you make the disease stronger . #RussianVaccine #coronavirus Russian Virologist Questions Safety of Country ’ s Coronavirus Vaccine - The Moscow Times ,side-effect
7632,1323424269079072768t,This is a earth wide problem . The government's of the world are ready to change your dna CureVac's COVID - 19 vaccine triggers immune response in Phase I trial ,political
1907,1373417173998264321t,"Two hospital staff members in Denmark got blood clots after taking the  COVID - 19 vaccine , with one ultimately dying . #COVID19 | #vaccine ",side-effect
2301,1255991567384342529t,        The flu vaccines only fight one or two strains a year . Most don ’ t even get the vaccine . I haven ’ t in years . The past couple years have actually had an alarming number of flu deaths .,ineffective side-effect
3499,1335671021832200194t,"  So elderly , frail and NHS frontline workers get to be guinea pigs ? #fuckpfizer #Pfizervaccine #Pfizer #BioNTech",mandatory
6525,1375604672359100419t,"  Not at all . Honestly . It is a made up invisible enemy . Herd immunity is worldwide , without the vaccine . I am much more afraid of the vaccine imo .",side-effect
5114,1342759745762029568t,"This is not the first time a medical professional had an allergic reaction to one of these newer mRNA vaccines . Earlier this month , the Post reported 5 people in the US had allergic reactions after Pfizer shot : ",side-effect
5611,1420827512133795841t,"Latest Data Show Efficacy Of Pfizer Vaccine Falls To 84 % After 6 Months Tyler Durden's Photo BY TYLER DURDEN WEDNESDAY , JUL 28 , 2021 - 09 : 00 PM ",ineffective
8559,1332697493969264641t,"Believe 2b a lie 2frighten the citizens ! Doctors & hospitals are diagnosing patients with COVID - 19 when they ’ re dying from stroke , heart attacks , cancer , asthma & flu ! Why ? They get paid more from insurance companies as well 2have people get vaccine 💉 ! ",pharma
2379,1340490218479214595t,Why would those who get COVID vaccines care if I DON'T ? I'm finding this entire VACCINE thing very puzzling . Even if you get the vaccine you have to WEAR A MASK ? WHY ? Even if you get VACCINE you have to socially distance ? WHY ? Open up the USA !,ineffective
6606,1337434422195306496t, Check out Pfizer's lawsuits over the last 140 years . German scientist prove vaccines NOT safe ! Watch the translation carefully : ,ineffective
1856,1319188821859311616t,That's it then no point in a Vaccine so why don't we treat this Virus that KILLS less people than many others out there like all of them and live with it instead of cowering from it ? ,unnecessary
1067,1334178471849889792t," I think you're right . MHRA arent what I call "" independent "" ... & Pfizer admitted they shortcut on safety in this vaccine so why the big rush ? ",rushed
1721,1336341917492150276t, Unproven 💉 Vaxx for a 🇨 🇳 🦠 that HAS a 99 % R £ COV £ RY RAT £ with OUR IMMUNE SYSTEM ? Makes NOSENSE 😩 ❌ Lab 🐀 for Medical Experiments Lab Humans for Medical Experiments ✅ #COVID19Vaccine #COVID19 #CovidVaccine ,ineffective
6210,1293204155012730881t,The world boutta play Russian Roulette w this new vaccine . Bet ! 👍 🏽,none
6456,1374064577068085248t,Where are the peer reviewed long term studies for this new vaccine ? Are you sure it is safe ? Are you going to compensate victims for complications or death ?,rushed side-effect
1245,1336689314860765184t,Four volunteers who got Pfizer's vaccine developed Bell's palsy  via  SERIOUS SIDE EFFECTS with PFIZER RNA Vaccine 💉,side-effect
5934,1326499830609350656t,"#PMQs  lies & creates unnecessary fear , unopposed . ‘ Cases ’ are not infections Deaths ‘ with Covid ’ are not deaths ‘ from Covid ’ Destroying our health / economy / inalienable rights so the globalists can Build Back Better No fake tests . No experimental vaccines . #BorisOut",side-effect
7029,1382407072042651650t,MICHAEL YEADON INTERVIEW - FORMER PFIZER VP SPEAKS OUT ON DANGERS OF MRNA VACCINES & COVID ILLUSION - Conservative Choice Campaign ,side-effect
9108,1336402612590088193t,"difference between a vaccine that has 95 % efficacy and one that has 65 % efficacy is that the first one works seven times as well as the second . No doubt because the British government has invested heavily in the Oxford one , that's what we'll all get ( except probably rich people )",ineffective
3619,1366816711295467523t,Reading the UK adverse reactions to the COVID - 19 vaccine is fascinating . Since Pfizer is the major vaccine in Canada I thought I ’ d take a quick look and see what the numbers are like . Everyone should see what the actual vaccine risks are for themselves ,side-effect
7794,1411374184194887687t,Is this the same scientist ’ s advocating you take an untested Maxine to save Grandma . It ’ s a farce 🤣 🤣 . A plan to drop all isolation and testing rules for double - jabbed people is set to put Boris Johnson on a fresh collision course with scientists . ,rushed
